"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"BROWNSPD"	"Neotoma"	309	316	"Browns Pond"	-79.616389	38.154722	"Eastern North America"	0.003	0.001	0.008	0.001	0.117	0.125	0.006	0.001	0.003	0.002	0.028	0.045	0.246	0.108	0.438	0.928	0.195	0.746	0.205	0.312	0.745	0.005	0.001	0.011	0.01	0.077	0.028	0.069	0.357	0.003	0.001	0.004	0.001	0.168	0.055	0.045	0.177	0.043	0.002	0.097	0.031	0.027	0.002	0.047	0.007	0.245	0.079	0.313	0.904	0.172	0.829
"BUCYRUS"	"Neotoma"	314	321	"Bucyrus Bog"	-82.933333	40.797222	"Eastern North America"	0.126	0.003	0.161	0.062	0.24	0.293	0.182	0.001	0.209	0.034	0.267	0.306	0.228	0.562	0.398	0.466	0.346	0.392	0.297	0.447	0.474	0.071	0.135	0.227	0.361	0.001	0.211	0.128	0.453	0.049	0.002	0.006	0.013	0.004	0.197	0.027	0.079	0.042	0.01	0.56	0.246	0.121	0.005	0.73	0.377	0.167	0.072	0.991	0.465	0.896	0.757
"BURDEN"	"Neotoma"	317	324	"Burden Lake"	-73.561755	42.60379	"Eastern North America"	0.431	0.468	0.66	0.699	0.003	0.001	0.91	0.916	0.765	0.753	0.043	0.002	0.071	0.052	0.188	0.198	0.035	0.026	0.043	0.03	0.015	0.16	0.14	0.077	0.07	0.051	0.056	0.037	0.044	0.046	0.048	0.263	0.239	0.055	0.05	0.26	0.285	0.299	0.318	0.221	0.237	0.282	0.278	0.327	0.329	0.038	0.046	0.048	0.044	0.037	0.022
"CAHABA"	"Neotoma"	321	328	"Cahaba Pond"	-86.533333	33.5	"Eastern North America"	0.136	0.235	0.543	0.661	0.032	0.954	0.042	0.193	0.636	0.506	0.02	0.817	0.023	0.287	0.411	0.712	0.597	0.608	0.013	0.542	0.81	0.081	0.14	0.315	0.704	0.018	0.193	0.238	0.837	0.022	0.079	0.456	0.253	0.02	0.202	0.487	0.374	0.11	0.219	0.554	0.57	0.03	0.183	0.57	0.436	0.003	0.26	0.277	0.582	0.486	0.472
"CAL"	"Neotoma"	322	329	"Saint-Calixte"	-73.868056	45.961111	"Eastern North America"	0.555	0.55	0.024	0.035	0.424	0.345	0.237	0.228	0.071	0.063	0.367	0.116	0.007	0.007	0.001	0.003	0.011	0.015	0.001	0.004	0.002	0.884	0.848	0.676	0.676	0.001	0.001	0.001	0.001	0.007	0.003	0.33	0.285	0.001	0.001	0.085	0.099	0.543	0.597	0.028	0.034	0.266	0.234	0.069	0.056	0.001	0.003	0.001	0.001	0.007	0.012
"CAMEL"	"Neotoma"	324	331	"Camel Lake"	-85.016667	30.266667	"Eastern North America"	0.381	0.264	0.598	0.717	0.67	0.812	0.312	0.32	0.322	0.242	0.919	0.812	0.533	0.257	0.802	0.63	0.482	0.185	0.43	0.601	0.372	0.131	0.095	0.463	0.072	0.203	0.292	0.9	0.129	0.106	0.107	0.299	0.032	0.212	0.301	0.619	0.045	0.418	0.286	0.671	0.673	0.391	0.317	0.36	0.397	0.557	0.306	0.814	0.702	0.462	0.341
"CAMP11LK"	"Neotoma"	325	332	"Camp 11 Lake"	-88.016667	46.666667	"Eastern North America"	0.055	0.034	0.042	0.034	0.245	0.32	0.147	0.177	0.041	0.048	0.625	0.088	0.048	0.031	0.106	0.105	0.055	0.053	0.115	0.128	0.036	0.327	0.358	0.114	0.126	0.001	0.002	0.006	0.004	0.545	0.519	0.266	0.254	0.001	0.001	0.004	0.005	0.183	0.184	0.024	0.012	0.366	0.351	0.086	0.089	0.057	0.046	0.049	0.052	0.055	0.052
"CAMP12LK"	"Neotoma"	326	333	"Camp 12 Lake"	-89.379645	45.985555	"Eastern North America"	0.181	0.168	0.062	0.075	0.196	0.265	0.524	0.541	0.324	0.343	0.449	0.441	0.139	0.134	0.052	0.065	0.066	0.072	0.568	0.877	0.515	0.355	0.327	0.356	0.315	0.751	0.777	0.739	0.718	0.936	0.931	0.862	0.854	0.044	0.066	0.08	0.097	0.067	0.061	0.01	0.007	0.545	0.548	0.218	0.235	0.084	0.076	0.003	0.005	0.056	0.055
"CAR_neotoma"	"Neotoma"	330	337	"Tourbiere Caribou"	-71.235833	47.639722	"Eastern North America"	0.513	0.492	0.371	0.36	0.631	0.567	0.668	0.661	0.139	0.136	0.694	0.689	0.019	0.016	0.01	0.014	0.009	0.008	0.741	0.665	0.692	0.719	0.725	0.8	0.826	0.194	0.177	0.215	0.22	0.247	0.277	0.358	0.34	0.027	0.029	0.037	0.025	0.388	0.364	0.575	0.556	0.247	0.241	0.043	0.054	0.006	0.004	0.008	0.005	0.003	0.002
"CARIB"	"Neotoma"	332	339	"Lac Caribou"	-64.94	48.197778	"Eastern North America"	0.039	0.133	0.646	0.489	0.001	0.054	0.054	0.119	0.534	0.428	0.001	0.024	0.005	0.05	0.323	0.153	0.321	0.158	0.001	0.687	0.393	0.079	0.12	0.465	0.319	0.008	0.036	0.26	0.149	0.196	0.246	0.547	0.479	0.314	0.416	0.763	0.791	0.054	0.13	0.653	0.42	0.042	0.111	0.328	0.23	0.005	0.006	0.29	0.066	0.164	0.065
"CARIBBOG"	"Neotoma"	333	340	"Caribou Bog"	-68.77344	44.93672	"Eastern North America"	0.4	0.428	0.006	0.007	0.199	0.003	0.234	0.266	0.001	0.001	0.198	0.001	0.175	0.147	0.172	0.175	0.12	0.121	0.106	0.021	0.006	0.25	0.196	0.001	0.002	0.163	0.128	0.072	0.085	0.003	0.008	0.001	0.001	0.08	0.069	0.002	0.002	0.328	0.328	0.006	0.011	0.255	0.27	0.003	0.002	0.076	0.085	0.066	0.052	0.035	0.03
"CARIBOU_neotoma"	"Neotoma"	334	341	"Caribou Hill"	-63.25	55.666667	"Eastern North America"	0.134	0.153	0.608	0.597	0.557	0.689	0.485	0.45	0.096	0.116	0.304	0.03	0.176	0.166	0.773	0.821	0.082	0.079	0.003	0.001	0.001	0.128	0.139	0.07	0.087	0.409	0.394	0.142	0.133	0.188	0.183	0.61	0.625	0.273	0.279	0.907	0.926	0.153	0.165	0.856	0.819	0.429	0.471	0.072	0.081	0.121	0.114	0.529	0.53	0.048	0.045
"CARTER"	"Neotoma"	337	345	"Carter Site"	-84.680556	40.216667	"Eastern North America"	NA	0.005	NA	0.016	NA	NA	NA	0.021	NA	0.027	NA	NA	NA	0.766	NA	0.35	NA	0.328	NA	NA	NA	NA	0.002	NA	0.001	NA	0.063	NA	0.079	NA	0.025	NA	0.052	NA	0.088	NA	0.044	NA	0.007	NA	0.012	NA	0.001	NA	0.004	NA	0.311	NA	0.385	NA	0.253
"CAS_neotoma"	"Neotoma"	338	346	"Lac Castor"	-72.998611	46.613889	"Eastern North America"	0.461	0.457	0.286	0.276	0.707	0.629	0.272	0.247	0.388	0.428	0.668	0.459	0.134	0.132	0.13	0.118	0.196	0.227	0.366	0.36	0.326	0.791	0.832	0.634	0.599	0.233	0.234	0.231	0.191	0.439	0.473	0.6	0.62	0.176	0.169	0.336	0.339	0.509	0.504	0.316	0.357	0.311	0.326	0.468	0.451	0.154	0.171	0.147	0.158	0.247	0.238
"CEDARBLK"	"Neotoma"	344	352	"Cedar Bog"	-93.197222	45.411111	"Eastern North America"	0.145	0.002	0.077	0.003	0.004	0.02	0.061	0.001	0.37	0.001	0.001	0.009	0.045	0.568	0.031	0.122	0.222	0.153	0.019	0.032	0.072	0.156	0.002	0.06	0.001	0.046	0.662	0.041	0.155	0.076	0.001	0.039	0.001	0.072	0.231	0.042	0.149	0.019	0.002	0.028	0.001	0.239	0.001	0.261	0.001	0.178	0.707	0.316	0.21	0.193	0.327
"CHALCOLA"	"Neotoma"	349	357	"Chalco Lake"	-99	19.5	"Eastern North America"	0.053	0.076	0.079	0.053	0.64	0.215	0.014	0.02	0.028	0.001	0.129	0.202	0.161	0.098	0.576	0.111	0.698	0.086	0.12	0.145	0.276	0.115	0.357	0.129	0.177	0.246	0.196	0.658	0.139	0.004	0.014	0.009	0.004	0.119	0.083	0.709	0.103	0.305	0.11	0.197	0.524	0.028	0.058	0.508	0.376	0.05	0.1	0.095	0.52	0.832	0.599
"CHASE_neotoma"	"Neotoma"	353	361	"Chase Pond"	-60.675	45.651389	"Eastern North America"	0.025	0.004	0.123	0.006	0.042	0.524	0.022	0.003	0.066	0.006	0.106	0.88	0.314	0.054	0.243	0.01	0.135	0.011	0.152	0.881	0.965	0.019	0.004	0.023	0.003	0.52	0.143	0.057	0.313	0.027	0.019	0.071	0.02	0.632	0.404	0.866	0.691	0.01	0.005	0.162	0.067	0.022	0.009	0.114	0.024	0.035	0.001	0.214	0.001	0.125	0.001
"CHIPPEWA"	"Neotoma"	360	369	"Chippewa Bog"	-83.241111	43.123889	"Eastern North America"	0.07	0.056	0.043	0.027	0.004	0.001	0.034	0.031	0.025	0.033	0.003	0.003	0.197	0.225	0.277	0.257	0.349	0.359	0.026	0.069	0.087	0.001	0.001	0.001	0.001	0.005	0.004	0.024	0.022	0.001	0.001	0.001	0.001	0.003	0.007	0.045	0.062	0.032	0.044	0.004	0.001	0.003	0.006	0.001	0.001	0.071	0.077	0.106	0.105	0.178	0.182
"CHTSWRTH"	"Neotoma"	364	375	"Chatsworth Bog"	-88.324435	40.675865	"Eastern North America"	0.84	0.001	0.811	0.151	0.343	0.35	0.876	0.001	0.391	0.005	0.715	0.626	0.655	0.186	0.646	0.637	0.392	0.484	0.833	0.494	0.822	0.74	0.002	0.758	0.042	0.341	0.204	0.417	0.324	0.432	0.001	0.721	0.001	0.474	0.498	0.774	0.44	0.262	0.001	0.322	0.001	0.555	0.001	0.7	0.001	0.62	0.929	0.556	0.595	0.738	0.539
"CLEARLIA"	"Neotoma"	478	489	"Clear Lake"	-93.42973	43.12507	"Eastern North America"	0.669	0.043	0.029	0.027	0.352	0.32	0.418	0.006	0.013	0.002	0.313	0.327	0.006	0.327	0.001	0.002	0.002	0.002	0.172	0.153	0.204	0.67	0.03	0.081	0.029	0.012	0.36	0.01	0.005	0.381	0.008	0.037	0.005	0.015	0.341	0.021	0.009	0.361	0.03	0.022	0.002	0.372	0.003	0.009	0.001	0.011	0.264	0.002	0.003	0.004	0.003
"CLEARLK"	"Neotoma"	479	490	"Clear Lake"	-86.544595	41.638535	"Eastern North America"	0.001	0.001	0.001	0.003	0.002	0.025	0.001	0.001	0.001	0.002	0.001	0.007	0.014	0.061	0.029	0.161	0.015	0.06	0.018	0.362	0.167	0.031	0.02	0.004	0.044	0.004	0.113	0.015	0.126	0.001	0.001	0.001	0.001	0.021	0.199	0.023	0.044	0.001	0.001	0.001	0.003	0.001	0.001	0.001	0.001	0.016	0.096	0.011	0.095	0.006	0.046
"CLEARPND"	"Neotoma"	480	492	"Clear Pond"	-78.95336	33.798895	"Eastern North America"	0.739	0.277	0.475	0.157	0.155	0.413	0.746	0.284	0.331	0.101	0.077	0.058	0.685	0.25	0.411	0.139	0.241	0.091	0.302	0.662	0.144	0.471	0.211	0.487	0.162	0.638	0.399	0.689	0.231	0.691	0.304	0.046	0.005	0.41	0.137	0.031	0.007	0.762	0.313	0.414	0.084	0.805	0.263	0.323	0.052	0.62	0.154	0.337	0.048	0.253	0.028
"COGHILL"	"Neotoma"	484	496	"Coghill Lake"	-66.766667	53.9	"Eastern North America"	0.901	0.893	0.901	0.916	0.578	0.562	0.796	0.795	0.645	0.615	0.44	0.015	0.431	0.394	0.438	0.455	0.371	0.385	0.457	0.422	0.026	0.876	0.865	0.219	0.208	0.165	0.167	0.067	0.053	0.369	0.367	0.658	0.633	0.386	0.391	0.697	0.716	0.921	0.921	0.771	0.766	0.797	0.772	0.609	0.593	0.423	0.414	0.409	0.444	0.365	0.385
"COLOMSH"	"Neotoma"	485	497	"Colo Marsh"	-93.27	42.02	"Eastern North America"	0.434	0.207	0.27	0.09	0.001	0.021	0.225	0.073	0.169	0.01	0.001	0.01	0.116	0.516	0.002	0.001	0.011	0.001	0.005	0.114	0.013	0.608	0.301	0.269	0.05	0.039	0.414	0.007	0.006	0.152	0.043	0.338	0.01	0.033	0.242	0.072	0.009	0.374	0.168	0.43	0.132	0.116	0.049	0.363	0.011	0.137	0.474	0.174	0.033	0.227	0.04
"COMPASS"	"Neotoma"	489	501	"Compass Pond"	-56.196389	50.034167	"Eastern North America"	0.311	0.084	0.76	0.745	0.345	0.245	0.605	0.09	0.624	0.89	0.573	0.989	0.117	0.005	0.311	0.037	0.09	0.008	0.539	0.462	0.771	0.287	0.04	0.817	0.403	0.062	0.022	0.229	0.127	0.513	0.031	0.777	0.408	0.268	0.035	0.427	0.405	0.336	0.082	0.72	0.788	0.471	0.074	0.622	0.854	0.056	0.001	0.185	0.021	0.1	0.002
"COTJ"	"Neotoma"	498	510	"Tourbiere de Lanoraie COTEAU JAUNE"	-73.341944	45.960833	"Eastern North America"	0.287	0.305	0.165	0.147	0.412	0.745	0.577	0.574	0.238	0.205	0.882	0.77	0.117	0.134	0.174	0.165	0.083	0.088	0.018	0.049	0.017	0.605	0.627	0.76	0.752	0.026	0.029	0.102	0.104	0.135	0.148	0.419	0.414	0.025	0.014	0.048	0.062	0.456	0.47	0.069	0.063	0.589	0.559	0.123	0.101	0.013	0.003	0.015	0.021	0.003	0.001
"COTTONWD"	"Neotoma"	500	513	"Cottonwood Lake"	-99.90806	44.835435	"Eastern North America"	0.197	0.069	0.043	0.02	0.001	0.001	0.01	0.001	0.001	0.001	0.001	0.001	0.02	0.202	0.004	0.002	0.004	0.001	0.502	0.356	0.505	0.084	0.029	0.025	0.001	0.001	0.088	0.001	0.003	0.001	0.001	0.001	0.001	0.024	0.119	0.005	0.011	0.065	0.004	0.006	0.002	0.001	0.001	0.015	0.002	0.001	0.002	0.001	0.001	0.001	0.017
"CRANBER"	"Neotoma"	503	516	"Cranberry Lake"	-78.1	44.1	"Eastern North America"	0.645	0.319	0.372	0.001	0.885	0.616	0.74	0.108	0.588	0.001	0.076	0.391	0.175	0.045	0.112	0.098	0.122	0.131	0.001	0.001	0.001	0.676	0.346	0.613	0.088	0.012	0.002	0.019	0.007	0.031	0.001	0.579	0.001	0.001	0.009	0.094	0.019	0.682	0.287	0.532	0.001	0.449	0.048	0.683	0.001	0.028	0.003	0.014	0.007	0.029	0.019
"CRANGLDS"	"Neotoma"	505	518	"Cranberry Glades"	-80.283333	38.2	"Eastern North America"	0.195	0.488	0.401	0.587	0.656	0.26	0.175	0.123	0.51	0.468	0.241	0.254	0.122	0.055	0.303	0.136	0.49	0.316	0.015	0.024	0.033	0.727	0.34	0.463	0.159	0.027	0.001	0.032	0.003	0.229	0.001	0.469	0.005	0.044	0.001	0.112	0.071	0.244	0.87	0.433	0.403	0.214	0.42	0.555	0.732	0.165	0.154	0.356	0.126	0.461	0.343
"CRATES"	"Neotoma"	506	519	"Crates Lake"	-81.266667	49.183333	"Eastern North America"	0.256	0.257	0.004	0.011	0.044	0.019	0.455	0.48	0.007	0.012	0.163	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.123	0.107	0.367	0.398	0.001	0.001	0.157	0.147	0.46	0.452	0.321	0.318	0.001	0.001	0.02	0.02	0.314	0.32	0.016	0.011	0.529	0.523	0.006	0.012	0.001	0.001	0.001	0.001	0.001	0.001
"CRIDERS"	"Neotoma"	510	523	"Crider's Pond"	-77.55	39.966667	"Eastern North America"	0.002	0.001	0.093	0.001	0.119	0.181	0.006	0.001	0.092	0.002	0.099	0.121	0.089	0.146	0.744	0.538	0.641	0.477	0.008	0.024	0.032	0.004	0.01	0.102	0.026	0.016	0.053	0.444	0.388	0.001	0.001	0.162	0.001	0.023	0.054	0.684	0.359	0.001	0.001	0.272	0.001	0.001	0.001	0.219	0.001	0.023	0.121	0.653	0.345	0.575	0.316
"CRISTAL"	"Neotoma"	511	524	"Cristal Lake"	-90.083333	52.116667	"Eastern North America"	0.587	0.586	0.162	0.17	0.013	0.231	0.66	0.711	0.333	0.318	0.203	0.287	0.001	0.001	0.001	0.001	0.001	0.001	0.004	0.12	0.013	0.308	0.305	0.289	0.288	0.026	0.023	0.163	0.157	0.539	0.554	0.004	0.012	0.005	0.005	0.004	0.003	0.553	0.523	0.289	0.297	0.534	0.552	0.113	0.11	0.001	0.001	0.001	0.001	0.001	0.001
"CUB2"	"Neotoma"	518	532	"Cub Lake"	-84.958333	44.7	"Eastern North America"	0.331	0.346	0.001	0.001	0.054	0.066	0.401	0.377	0.001	0.001	0.067	0.033	0.028	0.017	0.027	0.026	0.018	0.017	0.272	0.367	0.288	0.343	0.359	0.003	0.002	0.003	0.004	0.003	0.002	0.151	0.178	0.001	0.001	0.002	0.001	0.001	0.002	0.39	0.383	0.003	0.002	0.304	0.29	0.001	0.001	0.004	0.005	0.005	0.004	0.003	0.006
"CUMMINSA"	"Neotoma"	524	538	"Cummins Pond"	-89.346667	48.4075	"Eastern North America"	0.761	0.759	0.749	0.74	0.48	0.525	0.502	0.494	0.497	0.512	0.001	0.001	0.647	0.622	0.628	0.636	0.559	0.572	0.602	0.659	0.043	0.517	0.498	0.486	0.504	0.692	0.705	0.589	0.591	0.626	0.62	0.663	0.643	0.679	0.701	0.733	0.732	0.684	0.662	0.636	0.675	0.397	0.368	0.369	0.38	0.824	0.857	0.758	0.719	0.815	0.803
"CUPOLA"	"Neotoma"	525	539	"Cupola Pond"	-91.08998	36.79913	"Eastern North America"	0.392	0.001	0.11	0.003	0.248	0.584	0.237	0.001	0.07	0.083	0.157	0.629	0.078	0.014	0.063	0.178	0.051	0.356	0.051	0.18	0.225	0.294	0.001	0.03	0.056	0.09	0.018	0.107	0.311	0.16	0.001	0.089	0.059	0.091	0.015	0.083	0.296	0.443	0.001	0.297	0.001	0.191	0.002	0.032	0.002	0.089	0.054	0.107	0.051	0.034	0.064
"DAU"	"Neotoma"	533	549	"Daumont"	-69.4	54.883333	"Eastern North America"	0.797	0.765	0.871	0.863	0.279	0.372	0.778	0.762	0.877	0.878	0.188	0.007	0.247	0.256	0.288	0.313	0.258	0.291	0.176	0.282	0.006	0.892	0.906	0.436	0.446	0.001	0.001	0.001	0.001	0.367	0.359	0.205	0.237	0.08	0.077	0.075	0.062	0.802	0.82	0.611	0.613	0.714	0.719	0.519	0.494	0.128	0.117	0.135	0.102	0.126	0.138
"DECOY"	"Neotoma"	656	672	"Decoy Lake"	-80.366667	43.233333	"Eastern North America"	0.504	0.001	0.222	0.009	0.19	0.727	0.7	0.001	0.314	0.014	0.223	0.289	0.247	0.113	0.109	0.102	0.173	0.185	0.173	0.574	0.137	0.078	0.1	0.372	0.183	0.001	0.259	0.005	0.177	0.005	0.006	0.058	0.006	0.002	0.241	0.043	0.019	0.581	0.001	0.231	0.016	0.176	0.001	0.511	0.022	0.058	0.166	0.025	0.036	0.219	0.119
"DEER"	"Neotoma"	657	673	"Deer Lake Bog"	-71.833333	44.033333	"Eastern North America"	0.104	0.597	0.095	0.045	0.044	0.591	0.541	0.287	0.107	0.038	0.147	0.651	0.031	0.013	0.078	0.008	0.023	0.003	0.003	0.045	0.021	0.374	0.752	0.207	0.194	0.001	0.012	0.001	0.001	0.32	0.082	0.043	0.176	0.001	0.022	0.001	0.001	0.101	0.681	0.091	0.094	0.53	0.293	0.105	0.056	0.012	0.018	0.06	0.018	0.007	0.005
"DEL1"	"Neotoma"	658	675	"Delorme 1"	-69.918889	54.418889	"Eastern North America"	0.282	0.272	0.299	0.281	0.801	0.921	0.744	0.745	0.738	0.745	0.691	0.844	0.611	0.614	0.557	0.58	0.627	0.612	0.658	0.816	0.837	0.98	0.978	0.189	0.162	0.177	0.174	0.055	0.042	0.33	0.31	0.423	0.428	0.524	0.489	0.687	0.69	0.213	0.208	0.157	0.189	0.738	0.739	0.491	0.472	0.272	0.267	0.253	0.253	0.266	0.271
"DEL2"	"Neotoma"	659	677	"Delorme 2"	-69.929722	54.423611	"Eastern North America"	0.736	0.766	0.746	0.739	0.466	0.491	0.856	0.868	0.896	0.893	0.695	0.065	0.374	0.362	0.372	0.369	0.384	0.376	0.172	0.202	0.019	0.544	0.568	0.516	0.522	0.135	0.166	0.16	0.131	0.112	0.133	0.4	0.394	0.14	0.156	0.44	0.441	0.676	0.692	0.676	0.725	0.963	0.959	0.744	0.757	0.06	0.057	0.068	0.073	0.065	0.051
"DEMONTLK"	"Neotoma"	661	679	"Demont Lake"	-85	43.48	"Eastern North America"	0.559	0.011	0.596	0.031	0.559	0.974	0.462	0.005	0.687	0.015	0.51	0.855	0.398	0.202	0.446	0.59	0.586	0.652	0.437	0.785	0.684	0.475	0.065	0.523	0.037	0.226	0.068	0.428	0.358	0.279	0.001	0.629	0.001	0.281	0.144	0.626	0.368	0.507	0.014	0.464	0.016	0.267	0.001	0.529	0.006	0.402	0.029	0.338	0.265	0.671	0.597
"DENTONC1"	"Neotoma"	663	681	"Denton Lake"	-89.313005	45.853965	"Eastern North America"	0.164	0.174	0.122	0.148	0.715	0.871	0.201	0.185	0.085	0.065	0.366	0.31	0.582	0.553	0.214	0.216	0.134	0.138	0.656	0.791	0.42	0.753	0.716	0.641	0.627	0.991	0.996	0.978	0.98	0.57	0.573	0.413	0.412	0.101	0.105	0.096	0.116	0.367	0.351	0.349	0.378	0.217	0.196	0.175	0.187	0.887	0.884	0.893	0.866	0.676	0.703
"DEVILSWI"	"Neotoma"	666	684	"Devils Lake"	-89.73205	43.4178	"Eastern North America"	0.061	0.028	0.049	0.031	0.017	0.131	0.008	0.001	0.002	0.001	0.018	0.11	0.93	0.244	0.698	0.527	0.562	0.427	0.161	0.657	0.551	0.014	0.029	0.018	0.02	0.918	0.251	0.742	0.434	0.002	0.002	0.01	0.001	0.822	0.882	0.688	0.61	0.15	0.02	0.172	0.043	0.014	0.001	0.006	0.001	0.923	0.249	0.838	0.704	0.495	0.579
"DIA375"	"Neotoma"	669	688	"Diana 375"	-69.958333	60.9875	"Eastern North America"	0.364	0.426	0.209	0.198	0.191	0.433	0.972	0.968	0.797	0.821	0.222	0.006	0.569	0.588	0.532	0.509	0.508	0.488	0.245	0.615	0.032	0.002	0.002	0.346	0.359	0.012	0.01	0.703	0.699	0.02	0.027	0.023	0.022	0.53	0.561	0.071	0.078	0.019	0.018	0.016	0.013	0.638	0.626	0.354	0.344	0.461	0.457	0.556	0.536	0.397	0.414
"DIAB"	"Neotoma"	671	691	"Lac du Diable"	-66.125	48.910833	"Eastern North America"	0.226	0.033	0.816	0.71	0.011	0.105	0.145	0.047	0.933	0.972	0.071	0.602	0.102	0.022	0.26	0.516	0.554	0.626	0.067	0.343	0.803	0.637	0.661	0.739	0.865	0.06	0.079	0.049	0.082	0.025	0.484	0.248	0.16	0.055	0.175	0.351	0.098	0.245	0.062	0.826	0.874	0.188	0.08	0.966	0.88	0.113	0.005	0.365	0.41	0.546	0.364
"DISMAL"	"Neotoma"	679	699	"Dismal Swamp (91)"	-76.45	36.583333	"Eastern North America"	0.795	0.781	0.84	0.83	0.07	0.305	0.797	0.835	0.831	0.814	0.052	0.27	0.753	0.775	0.79	0.836	0.81	0.792	0.173	0.746	0.893	0.699	0.703	0.485	0.483	0.41	0.459	0.396	0.36	0.68	0.697	0.236	0.233	0.793	0.786	0.219	0.224	0.795	0.825	0.825	0.813	0.811	0.845	0.797	0.803	0.775	0.774	0.793	0.796	0.746	0.786
"DUCKPOND"	"Neotoma"	753	772	"Duck Pond"	-70.0005	41.9327	"Eastern North America"	0.025	0.001	0.046	0.001	0.015	0.008	0.041	0.002	0.051	0.002	0.018	0.016	0.449	0.336	0.562	0.565	0.505	0.374	0.344	0.294	0.166	0.042	0.013	0.066	0.021	0.571	0.574	0.21	0.4	0.009	0.001	0.01	0.001	0.622	0.788	0.116	0.112	0.1	0.001	0.127	0.002	0.064	0.001	0.048	0.002	0.635	0.422	0.39	0.526	0.214	0.301
